ID_EVALUACION,CODIGO_AUDITOR,COD_PROY,Fecha de ejecucion,RESULTADO,TITULO_CUESTIONARIO
1945183,jesus_cano,IKEA_HM,22/01/2014,"0,94",AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
1945184,S_GARCIAHU,IKEA_HM,21/01/2014,"0,98",AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
1945185,ALMU_REYES,IKEA_HM,21/01/2014,"0,953",AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
1945186,c_heras,IKEA_HM,09/01/2014,"0,955",AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
1945187,M_CASTANO,IKEA_HM,22/01/2014,"0,951",AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
1945188,ALMU_REYES,IKEA_HM,14/01/2014,"0,945",AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
1945189,C_MBRITO,IKEA_HM,21/01/2014,"0,951",AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
1945190,c_heras,IKEA_HM,28/01/2014,"0,957",AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
1945191,M_CASTANO,IKEA_HM,13/01/2014,"0,94",AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
1945192,J_ZUBIAUR,IKEA_HM,23/01/2014,"0,968",AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
1945521,d_vega,MARISCAL,29/01/2014,"0,7811",AUDITORIA SEGURIDAD ALIMENTARIA-HYGIENE MONITORED
1945522,M_CASTANO,CAPIO,21/01/2014,"0,8911",AUDITORIA SEGURIDAD ALIMENTARIA
1945523,M_CASTANO,CAPIO,23/01/2014,"0,7719",AUDITORIA SEGURIDAD ALIMENTARIA
1945524,M_CASTANO,CAPIO,16/01/2014,"0,8669",AUDITORIA SEGURIDAD ALIMENTARIA
1945525,c_heras,CAPIO,20/01/2014,"0,7899",AUDITORIA SEGURIDAD ALIMENTARIA
1945526,c_heras,CAPIO,08/01/2014,"0,8256",AUDITORIA SEGURIDAD ALIMENTARIA
1945527,c_heras,CAPIO,30/01/2014,"0,7734",AUDITORIA SEGURIDAD ALIMENTARIA
1945528,c_heras,CAPIO,15/01/2014,"0,5329",AUDITORIA SEGURIDAD ALIMENTARIA
1945655,30948,0457_003,07/01/2014,"0,7883",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945656,33427,0457_003,17/01/2014,"0,9517",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945657,29384,0457_003,20/01/2014,"0,9383",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945658,30811,0457_003,20/01/2014,"0,9217",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945659,32002,0457_003,11/01/2014,"0,8693",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945660,31924,0457_003,14/01/2014,"0,9316",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945661,29384,0457_003,17/01/2014,"0,8123",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945665,32099,0457_003,08/01/2014,"0,8717",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945666,30811,0457_003,14/01/2014,"0,9683",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945667,29384,0457_003,10/01/2014,"0,935",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945668,29384,0457_003,17/01/2014,"0,8883",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945669,29384,0457_003,17/01/2014,"0,8474",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945670,29665,0457_003,13/01/2014,"0,885",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945671,29384,0457_003,20/01/2014,"0,8079",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945672,31838,0457_003,20/01/2014,"0,9683",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945673,30811,0457_003,20/01/2014,"0,9717",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945674,2643,0457_003,15/01/2014,"0,8092",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945675,30811,0457_003,20/01/2014,"0,9517",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945676,33510,0457_003,02/01/2014,"0,9183",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945677,34095,0457_003,10/01/2014,"0,9717",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945681,2946,0457_003,23/01/2014,"0,785",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945682,29384,0457_003,20/01/2014,"0,8883",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945683,29665,0457_003,16/01/2014,"0,885",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945684,30811,0457_003,16/01/2014,"0,885",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945685,30811,0457_003,21/01/2014,"0,9",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945686,31924,0457_003,14/01/2014,"0,9842",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945687,29710,0457_003,09/01/2014,"0,8383",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945689,2730,0457_003,10/01/2014,"0,8383",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945690,29384,0457_003,10/01/2014,"0,8092",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945691,32099,0457_003,20/01/2014,"0,8183",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945692,29665,0457_003,16/01/2014,"0,7465",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945693,29902,0457_003,17/01/2014,"0,785",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945694,2643,0457_003,15/01/2014,"0,9517",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945695,31924,0457_003,13/01/2014,"0,9316",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945696,34070,0457_003,13/01/2014,"0,8723",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945697,33991,0457_003,20/01/2014,"0,985",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945698,33991,0457_003,21/01/2014,"0,935",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945699,32902,0457_003,02/01/2014,"0,985",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945700,31433,0457_003,21/01/2014,"0,8183",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945701,31838,0457_003,10/01/2014,"0,835",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945702,2730,0457_003,17/01/2014,"0,9033",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945703,29384,0457_003,02/01/2014,"0,9017",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945704,29384,0457_003,02/01/2014,"0,885",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945705,33853,0457_003,13/01/2014,"0,9229",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945706,30811,0457_003,10/01/2014,"0,885",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945707,2643,0457_003,15/01/2014,"0,9517",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945708,2643,0457_003,15/01/2014,"0,985",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945709,31644,0457_003,07/01/2014,"0,985",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945710,29710,0457_003,07/01/2014,"0,8867",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945711,29665,0457_003,13/01/2014,"0,935",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945712,29710,0457_003,02/01/2014,"0,985",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945713,30811,0457_003,10/01/2014,"0,905",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945714,2940,0457_003,13/01/2014,"0,855",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945715,29902,0457_003,17/01/2014,"0,9017",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945716,31285,0457_003,21/01/2014,"0,905",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945717,33427,0457_003,17/01/2014,"0,9717",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945718,34070,0457_003,10/01/2014,"0,7883",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945719,32099,0457_003,08/01/2014,"0,7425",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945720,30948,0457_003,09/01/2014,"0,3192",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945721,33991,0457_003,20/01/2014,"0,9183",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945722,30811,0457_003,15/01/2014,"0,9183",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945723,2730,0457_003,15/01/2014,"0,7883",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945724,2730,0457_003,09/01/2014,"0,8649",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945725,32099,0457_002,08/01/2014,"0,8517",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945726,34171,0457_002,15/01/2014,"0,6717",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945727,32002,0457_002,11/01/2014,"0,805",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945728,31838,0457_002,09/01/2014,"0,8717",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945729,33510,0457_002,04/01/2014,"0,985",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945730,33991,0457_002,21/01/2014,"0,8883",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945731,33427,0457_002,17/01/2014,"0,9217",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945732,34000,0457_002,18/01/2014,"0,5824",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945733,33811,0457_002,09/01/2014,"0,8088",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945734,29384,0457_002,02/01/2014,"0,8517",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945735,33625,0457_002,21/01/2014,"0,935",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945736,34019,0457_002,10/01/2014,"0,8088",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945784,33394,0457_003,21/01/2014,"0,985",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945785,33873,0457_003,13/01/2014,"0,8824",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945786,33394,0457_003,15/01/2014,"0,8298",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945787,34172,0457_003,17/01/2014,"0,685",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945788,33481,0457_003,10/01/2014,"0,905",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945789,33481,0457_003,10/01/2014,"0,9217",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945790,33873,0457_003,16/01/2014,"0,8298",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945791,31882,0457_003,21/01/2014,"0,9017",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945792,33125,0457_003,13/01/2014,"0,9383",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945793,33481,0457_003,15/01/2014,"0,8883",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945794,34170,0457_003,15/01/2014,"0,7425",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945795,33373,0457_003,08/01/2014,"0,8883",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945796,34170,0457_003,17/01/2014,"0,8883",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945797,34172,0457_003,20/01/2014,"0,985",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945798,33033,0457_003,02/01/2014,"0,97",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945799,33481,0457_003,20/01/2014,"0,8824",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945800,34081,0457_003,10/01/2014,"0,805",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945801,33481,0457_003,17/01/2014,"0,985",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945802,34083,0457_003,08/01/2014,"0,8592",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945803,33373,0457_003,13/01/2014,"0,855",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945804,29369,0457_003,16/01/2014,"0,8123",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945805,34172,0457_003,18/01/2014,"0,8614",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945806,34172,0457_003,20/01/2014,"0,935",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945807,33481,0457_003,20/01/2014,"0,8383",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945808,33373,0457_003,08/01/2014,"0,9383",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945809,29369,0457_003,18/01/2014,"0,7883",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945810,29369,0457_003,14/01/2014,"0,8383",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945811,33373,0457_003,16/01/2014,"0,9017",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945812,33373,0457_003,13/01/2014,"0,935",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945813,31882,0457_003,21/01/2014,"0,7075",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945814,33373,0457_003,08/01/2014,"0,7883",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945815,33125,0457_003,09/01/2014,"0,8217",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945816,29369,0457_003,10/01/2014,"0,7246",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945817,34170,0457_003,15/01/2014,"0,9383",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945818,34081,0457_003,13/01/2014,"0,755",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945819,34081,0457_003,16/01/2014,"0,805",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945820,33873,0457_003,09/01/2014,"0,8298",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945821,32018,0457_003,21/01/2014,"0,985",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945822,33196,0457_003,17/01/2014,"0,985",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945823,31982,0457_003,16/01/2014,"0,9017",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945824,33481,0457_003,10/01/2014,"0,7991",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945825,33373,0457_003,08/01/2014,"0,8123",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945826,33873,0457_003,09/01/2014,"0,8383",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945827,33373,0457_003,02/01/2014,"0,8033",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945828,34037,0457_003,03/01/2014,"0,9183",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945829,33873,0457_003,13/01/2014,"0,8383",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945830,2767,0457_002,04/01/2014,"0,4982",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945831,33196,0457_002,08/01/2014,"0,8737",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945832,33481,0457_002,10/01/2014,"0,7333",MYSTERY SHOPPER SERVICIO FFQQ P5 (ENE_14)
1945833,33196,0457_002,10/01/2014,"0,9717",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945834,33873,0457_002,16/01/2014,"0,9383",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945835,34037,0457_002,03/01/2014,"0,9167",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945837,2785,0457_003,20/01/2014,"0,7717",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945838,33525,0457_003,17/01/2014,"0,8217",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945840,34064,0457_003,07/01/2014,"0,7842",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945841,30790,0457_003,21/01/2014,"0,8298",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945842,34146,0457_003,10/01/2014,"0,885",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945843,33481,0457_003,04/01/2014,"0,855",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945844,33525,0457_003,17/01/2014,"0,8717",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945845,33481,0457_003,17/01/2014,"0,8717",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945846,33481,0457_003,04/01/2014,"0,7258",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945847,33481,0457_003,04/01/2014,"0,935",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945848,33127,0457_003,13/01/2014,"0,8883",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945849,34146,0457_003,02/01/2014,"0,985",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945850,33127,0457_003,03/01/2014,"0,9383",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945851,33949,0457_003,09/01/2014,"0,8883",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945852,33481,0457_003,17/01/2014,"0,8717",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945853,33481,0457_003,17/01/2014,"0,8683",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945854,33127,0457_003,04/01/2014,"0,855",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945856,34146,0457_003,10/01/2014,"0,885",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945859,31021,0457_003,17/01/2014,"0,7772",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945860,33127,0457_003,07/01/2014,"0,8383",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945861,31021,0457_003,17/01/2014,"0,8383",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945862,29317,0457_003,09/01/2014,"0,8883",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945863,29317,0457_003,09/01/2014,"0,7772",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945864,34001,0457_003,02/01/2014,"0,9383",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945865,34001,0457_003,02/01/2014,"0,9183",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945866,33949,0457_002,07/01/2014,"0,8383",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945867,29317,0457_002,17/01/2014,"0,4305",MYSTERY SHOPPER SERVICIO FFQQ P5 (ENE_14)
1945868,33127,0457_002,21/01/2014,"0,7883",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945869,33127,0457_002,03/01/2014,"0,7217",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945870,29317,0457_002,21/01/2014,"0,5278",MYSTERY SHOPPER SERVICIO FFQQ P5 (ENE_14)
1945871,33481,0457_002,04/01/2014,"0,6833",MYSTERY SHOPPER SERVICIO FFQQ P5 (ENE_14)
1945872,33525,0457_001,21/01/2014,"0,8217",MYSTERY SHOPPER TTPP P5 (ENE_14)
1945874,33626,0457_003,21/01/2014,"0,985",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945875,33626,0457_003,21/01/2014,"0,9183",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945876,34,0457_003,21/01/2014,"0,8217",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945877,33626,0457_003,21/01/2014,"0,935",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945878,33625,0457_003,15/01/2014,"0,985",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945879,33916,0457_003,15/01/2014,"0,9316",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945880,33625,0457_003,15/01/2014,"0,985",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945881,34,0457_003,21/01/2014,"0,905",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945882,33625,0457_003,21/01/2014,"0,985",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945883,33626,0457_003,21/01/2014,"0,8789",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945884,2715,0457_001,14/01/2014,"0,8033",MYSTERY SHOPPER TTPP P5 (ENE_14)
1945885,33904,0457_001,10/01/2014,"0,8883",MYSTERY SHOPPER TTPP P5 (ENE_14)
1945887,33560,0457_002,10/01/2014,"0,935",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945888,34116,0457_002,16/01/2014,"0,935",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945889,31174,0457_002,21/01/2014,"0,9017",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945890,2717,0457_002,20/01/2014,"0,855",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945891,30841,0457_002,21/01/2014,"0,9217",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945892,2742,0457_002,17/01/2014,"0,9183",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945893,R00141,0457_002,16/01/2014,"0,8123",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945894,33560,0457_002,15/01/2014,"0,8683",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945895,333,0457_002,14/01/2014,"0,9517",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945896,33467,0457_002,15/01/2014,"0,985",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945897,32347,0457_002,04/01/2014,"0,8533",MYSTERY SHOPPER FFQQ P5 (ENE_14)
1945899,r02743,0457_003,03/01/2014,"0,8649",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945900,r02743,0457_003,02/01/2014,"0,885",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945901,32822,0457_003,14/01/2014,"0,8088",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945902,r02743,0457_003,16/01/2014,"0,985",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945903,34105,0457_003,15/01/2014,"0,5807",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945904,33568,0457_003,16/01/2014,"0,9717",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945905,r02746,0457_003,20/01/2014,"0,9217",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945906,33590,0457_003,03/01/2014,"0,985",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945907,333,0457_003,14/01/2014,"0,9702",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945908,r02746,0457_003,20/01/2014,"0,9717",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945909,33987,0457_003,14/01/2014,"0,9717",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945910,r02746,0457_003,09/01/2014,"0,9717",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945911,R00141,0457_003,20/01/2014,"0,9558",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945912,r02746,0457_003,10/01/2014,"0,905",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945913,33575,0457_003,02/01/2014,"0,935",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945914,34025,0457_003,15/01/2014,"0,785",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945915,33568,0457_003,09/01/2014,"0,8667",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945916,34025,0457_003,07/01/2014,"0,5824",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945917,R00141,0457_003,03/01/2014,"0,8217",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945918,R01140,0457_003,16/01/2014,"0,9383",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945919,33575,0457_003,02/01/2014,"0,9383",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
1945920,34116,0457_003,17/01/2014,"0,9217",MYSTERY SHOPPER ESPECIALISTA P5 (ENE_14)
