CODIGO_LOCAL,NOMBRE_LOCAL,CP
967,INST. RADIO ELEC JVP S.L.,8041
972,"CAMOS COMUNICATIONS, S.L.",17600
0978a,"GRUPCOM RETAIL,  S.L.",8917
0980a,"ZAITEL 500 , S.L.",8210
981,"AIR MOVIL BALEAR, S.L",7011
0986a,TOT COMUNICACIO I ACCESORIS SL,8302
0989a,"ZAITEL 500 , S.L.",8914
991,"AIR MOVIL BALEAR, S.L",7400
1000,TOT COMUNICACIO I ACCESORIS SL,8350
1003a,"ZAITEL 500 , S.L.",8304
1021,TOT COMUNICACIO I ACCESORIS SL,8370
1023a,"EASOVOX, S.L",8174
1031,"GRUPCOM RETAIL,  S.L.",7820
1033,"CAMOS COMUNICATIONS, S.L.",17800
1049,MITEXNO S.L.,8720
1066a,"GRUPCOM RETAIL,  S.L.",8005
1404,"AIR MOVIL BALEAR, S.L",7010
1418,ONDAS SYSTEM S.L.,8760
1422,COMUNICACIONES MOVILES DE MALL,7002
1424,ONDAS SYSTEM S.L.,8007
1446a,LAITEL 32,8210
1457,"ZAITEL 500 , S.L.",8923
1466,"LUALBO, S.L",43007
1467,"LUALBO, S.L",43850
1479,"C.U.P. TELECOMUNICACIONS, S.L.",17006
1482,ONDAS SYSTEM S.L.,8720
1494,"ZAITEL 500 , S.L.",17001
1497,"AIR MOVIL BALEAR, S.L",7800
1508,"ZAITEL 500 , S.L.",8030
1511,LAITEL 32,8014
1512,GRANOLLERS TELEFONIA S.L.,8172
1515,"ZAITEL 500 , S.L.",8921
1524,STAND -- AJ CHANNEL 2013 - ECI PLAZA CATALU�A,8002
1527,STAND -- EXPERIS ECI AVENIDAS,7012
1528,STAND -- AJ CHANNEL 2013 - ECI DIAGONAL,8028
1529,STAND -- AJ CHANNEL 2013 - ECI SABADELL,8206
1536,STAND -- AJ CHANNEL 2013 - ECI CORNELL�,8940
1542,STAND -- AJ CHANNEL 2013 - ECI CAN DRAG�,8016
1544,STAND -- EXPERIS ECI JAIME III,7012
1581,STAND -- AJ CHANNEL 2013 - ECI TARRAGONA,43005
1605,"EASOVOX, S.L",8017
1612,TDC 2000 COMUNCAC GLOBALES SRL,25007
79,SANTA EULALIA - Passeig Mar�tim,7840
80,VIC - Rambla del Passeig,8500
82,CORNELL� - CC Llobregat Centre 2,8940
83,BARCELONA - Urquinaona,8010
84,BARCELONA - Lepanto,8025
85,BARCELONA - Ind�stria,8025
087a,TERRASSA - Rambla Egara,8224
091a,HOSPITALET - Ajuntament,8901
94,GRANOLLERS - Anselm Clav�,8402
99,REUS - Jes�s,43201
105,BARCELONA - Balmes 351,8006
170,FIGUERES - Rambla,17600
184,HOSPITALET - Collblanc,8903
185,VILADECANS - CC Vilamarina,8840
216,TORTOSA - Generalitat,43500
218,IGUALADA - Sant Isidre,8700
223,BARCELONA - Via Julia,8016
246,PALMA - San Miguel,7002
252,Sabadell,8208
254,Ibiza,7800
260,Terrassa,8221
263,Barcelona Sant Andreu,8030
266,Badalona,8912
267,Barcelona Gran de Gr�cia,8012
269,Tarragona,43001
15,Barcelona Diagonal,8028
16,Barcelona Gran Via,8007
95,Rambla Catalu�a,8002
1449,Petrer,3610
45,Aljub,3205
1166,Thader Murcia,30006
896,Dos Mares,30730
109,Parquesur,28916
1163,Los �ngeles-Carrefour,28041
1168,UGC M�ndez,28045
1983,Tres Aguas,28922
1990,Deliland,35509
24,Callao,28013
27,Gran V�a 1,28013
43,Postas,28012
747,Talavera de la Reina,45600
799,Luz de Castilla,40006
881,Plenilunio,28022
997,PC Islazul,28054
117,VIGO - Eduardo Iglesias,36202
120,A CORU�A - CC Los Rosales,15011
121,C�E - CC Finisterrae,15270
122,SANTIAGO - Doctor Texeiro,15701
123,FERROL - Cant�n de Molins,15402
124,NARON - CC A G�ndara,15578
198,PONTEVEDRA - Oliva,36001
201,A CORU�A - CC Cuatro caminos,15006
207a,A CORU�A - CC Espacio Coru�a,15008
240,A CORU�A - CC Marineda Plaza,15004
242,NIGR�N - CC Ramallosa,36370
251,SANTIAGO - CC As Cancelas,15703
258,La Coru�a,15005
271,Orense,32003
300,A CORU�A - LA TORRE,15002
0049a,"CEBLANAL, S.L",27001
118,"COMUNICACIONES TUICOM, S.L",36700
120,OBREOGAN COMUNICACIONES S.L,36950
123,"INFORMATICA VALEM, S.L.",15100
132,"MONTAJES AS PONTES, S.L.",15320
133,"JOSE LUIS CARBALLI�O, S.L",32500
178,EUGENIO FRAGA SANCHEZ,27850
179,TEHMAR S.L.,27880
0238a,TELEOPERATOR COMUNICACIONES SL,32003
239,AIRCOM COMUNICACIONES S.L.,32800
249,RUBIANES TELECOMUNICACION S.L,36500
254,RUBIANES TELECOMUNICACION S.L,27400
256,TELEOPERATOR COMUNICACIONES SL,32002
272,"COMUNICACIONES TUICOM, S.L",36780
0273a,COMUNICACIONES DACU�A Y PEREZ,36800
274,COMUNICACIONES DACU�A Y PEREZ,36860
0364a,RUBIANES TELECOMUNICACION S.L,36980
366,OBREOGAN COMUNICACIONES S.L,36940
393,TELEOPERATOR COMUNICACIONES SL,32003
405,RUBIANES TELECOMUNICACION S.L,36680
406,COMUNICACIONES DACU�A Y PEREZ,36900
412,AIRCOM COMUNICACIONES S.L.,32005
423,"COMUNICACIONES TUICOM, S.L",36300
0442a,RUBIANES TELECOMUNICACION S.L,36600
458,RUBIANES TELECOMUNICACION S.L,36003
459,"CEBLANAL, S.L",27780
558,RUBIANES TELECOMUNICACION S.L,36630
0563a,RUBIANES TELECOMUNICACION S.L,27003
